Rank,University,Continent,Subject,Level,Website,Email,Application_Open,Tuition_USD_Range,Subject_Expertise
1,Massachusetts Institute of Technology (MIT),North America,Engineering; Computer Science; Physics; Economics; Architecture,Bachelor;Master;PhD,https://www.mit.edu/,admissions@mit.edu,9/1/2025,55000-65000,"Technology, Engineering, Physical Sciences"
2,University of Cambridge,Europe,Law; History; Natural Sciences; Mathematics; English,Bachelor;Master;PhD,https://www.cam.ac.uk/,admissions@cam.ac.uk,9/1/2025,30000-50000,"Arts, Humanities, Sciences"
3,University of Oxford,Europe,Philosophy; Politics; Economics; Medicine; Classics,Bachelor;Master;PhD,https://www.ox.ac.uk/,study@ox.ac.uk,9/1/2025,30000-50000,"Humanities, Social Sciences, Medical Sciences"
4,Harvard University,North America,Law; Business; Medicine; Government; Arts,Bachelor;Master;PhD,https://www.harvard.edu/,admissions@harvard.edu,9/1/2025,55000-65000,"Law, Business, Medicine"
5,Stanford University,North America,Computer Science; Engineering; Business; Education; Earth Sciences,Bachelor;Master;PhD,https://www.stanford.edu/,admission@stanford.edu,9/1/2025,55000-65000,"Technology, Business, Engineering"
6,Imperial College London,Europe,Engineering; Medicine; Science; Business; Computing,Bachelor;Master;PhD,https://www.imperial.ac.uk/,enquiries@imperial.ac.uk,9/15/2025,35000-55000,"STEM, Business"
7,ETH Zurich,Europe,Engineering; Architecture; Physics; Chemistry; Computer Science,Bachelor;Master;PhD,https://ethz.ch/en.html,info@ethz.ch,11/1/2025,1500-2500,"Engineering, Natural Sciences"
8,National University of Singapore (NUS),Asia,Computer Science; Engineering; Business; Public Policy; Medicine,Bachelor;Master;PhD,https://nus.edu.sg/,admissions@nus.edu.sg,10/15/2025,18000-38000,"Engineering, Technology, Social Sciences"
9,UCL (University College London),Europe,Law; Brain Sciences; Education; Arts & Humanities; Engineering,Bachelor;Master;PhD,https://www.ucl.ac.uk/,admissions@ucl.ac.uk,10/1/2025,28000-48000,"Law, Education, Neuroscience"
10,"University of California, Berkeley (UCB)",North America,Engineering; Chemistry; Economics; Sociology; Computer Science,Bachelor;Master;PhD,https://www.berkeley.edu/,apply@berkeley.edu,11/1/2025,44000-54000,"Engineering, Social Sciences, Natural Sciences"
11,University of Chicago,North America,Economics; Law; Physics; Sociology; Public Policy,Bachelor;Master;PhD,https://www.uchicago.edu/,collegeadmissions@uchicago.edu,9/1/2025,60000-70000,"Economics, Law, Social Sciences"
12,University of Pennsylvania,North America,Business; Nursing; Medicine; Law; Engineering,Bachelor;Master;PhD,https://www.upenn.edu/,info@admissions.upenn.edu,9/1/2025,58000-68000,"Business, Nursing, Social Sciences"
13,Cornell University,North America,Engineering; Agriculture; Hotel Administration; Architecture; Veterinary Medicine,Bachelor;Master;PhD,https://www.cornell.edu/,admissions@cornell.edu,9/1/2025,59000-69000,"Agriculture, Hospitality, Engineering"
14,University of Melbourne,Australia,Medicine; Law; Arts; Education; Engineering,Bachelor;Master;PhD,https://www.unimelb.edu.au/,admissions@unimelb.edu.au,8/1/2025,35000-50000,"Medicine, Law, Education"
15,California Institute of Technology (Caltech),North America,Physics; Engineering; Biology; Chemistry; Mathematics,Bachelor;Master;PhD,https://www.caltech.edu/,ugadmissions@caltech.edu,9/1/2025,58000-68000,"Physical Sciences, Engineering"
16,Yale University,North America,Law; Drama; Art; History; Political Science,Bachelor;Master;PhD,https://www.yale.edu/,undergraduate.admissions@yale.edu,9/1/2025,60000-70000,"Arts, Humanities, Law"
17,Peking University,Asia,Humanities; Sciences; Economics; Law; International Relations,Bachelor;Master;PhD,https://english.pku.edu.cn/,admission@pku.edu.cn,10/1/2025,5000-8000,"Social Sciences, Humanities"
18,Princeton University,North America,Physics; Public Affairs; Economics; Engineering; Mathematics,Bachelor;Master;PhD,https://www.princeton.edu/,uaoffice@princeton.edu,9/1/2025,56000-66000,"Public Policy, Physics, Economics"
19,University of New South Wales (UNSW Sydney),Australia,Engineering; Law; Business; Art & Design; Medicine,Bachelor;Master;PhD,https://www.unsw.edu.au/,international.office@unsw.edu.au,9/1/2025,38000-52000,"Engineering, Business, Law"
20,University of Sydney,Australia,Medicine; Arts; Business; Law; Architecture,Bachelor;Master;PhD,https://www.sydney.edu.au/,international.admissions@sydney.edu.au,8/15/2025,39000-53000,"Medicine, Arts, Social Sciences"
21,University of Toronto,North America,Medicine; Engineering; Arts & Science; Law; Management,Bachelor;Master;PhD,https://www.utoronto.ca/,admissions.help@utoronto.ca,10/1/2025,45000-60000,"Medicine, Engineering, Humanities"
22,Tsinghua University,Asia,Engineering; Computer Science; Architecture; Journalism; Law,Bachelor;Master;PhD,https://www.tsinghua.edu.cn/en/,admissions@tsinghua.edu.cn,10/15/2025,6000-9000,"Engineering, Computer Science"
23,"Nanyang Technological University, Singapore (NTU)",Asia,Engineering; Business; Art; Communication; Science,Bachelor;Master;PhD,https://www.ntu.edu.sg/,adm_intnl@ntu.edu.sg,10/1/2025,18000-35000,"Engineering, Business"
24,The University of Hong Kong (HKU),Asia,Dentistry; Law; Education; Business; Social Sciences,Bachelor;Master;PhD,https://www.hku.hk/,admissions@hku.hk,10/1/2025,20000-28000,"Dentistry, Law, Education"
25,Columbia University,North America,Journalism; Business; Law; International Affairs; Arts,Bachelor;Master;PhD,https://www.columbia.edu/,ugrad-ask@columbia.edu,9/1/2025,63000-73000,"Journalism, International Affairs"
26,The University of Tokyo,Asia,Law; Economics; Science; Engineering; Medicine,Bachelor;Master;PhD,https://www.u-tokyo.ac.jp/en/,international-admissions@u-tokyo.ac.jp,10/1/2025,5000-7000,"Natural Sciences, Engineering"
27,Johns Hopkins University,North America,Medicine; Public Health; International Studies; Nursing; Engineering,Bachelor;Master;PhD,https://www.jhu.edu/,gotojhu@jhu.edu,9/1/2025,59000-69000,"Medicine, Public Health"
28,University of Michigan-Ann Arbor,North America,Business; Engineering; Law; Medicine; Social Work,Bachelor;Master;PhD,https://umich.edu/,help@umich.edu,9/1/2025,52000-62000,"Business, Engineering, Social Sciences"
29,McGill University,North America,Medicine; Law; Arts; Engineering; Science,Bachelor;Master;PhD,https://www.mcgill.ca/,enrolmentservices@mcgill.ca,10/1/2025,25000-45000,"Medicine, Law, Arts"
30,University of Edinburgh,Europe,Medicine; Veterinary Medicine; Informatics; Law; Literature,Bachelor;Master;PhD,https://www.ed.ac.uk/,futurestudents@ed.ac.uk,9/15/2025,28000-42000,"Medicine, Informatics, Humanities"
31,Kyoto University,Asia,Science; Engineering; Agriculture; Law; Medicine,Bachelor;Master;PhD,https://www.kyoto-u.ac.jp/en,intl-admissions@kyoto-u.ac.jp,10/1/2025,5000-7000,"Natural Sciences, Engineering"
32,Seoul National University,Asia,Engineering; Humanities; Business; Law; Medicine,Bachelor;Master;PhD,https://en.snu.ac.kr/,snuadmit@snu.ac.kr,9/1/2025,6000-10000,"Engineering, Humanities"
33,Australian National University (ANU),Australia,International Relations; Law; Arts; Science; Public Policy,Bachelor;Master;PhD,https://www.anu.edu.au/,international.admissions@anu.edu.au,8/15/2025,36000-48000,"International Relations, Public Policy"
34,King's College London,Europe,Law; War Studies; Dentistry; Psychiatry; Humanities,Bachelor;Master;PhD,https://www.kcl.ac.uk/,prospectus@kcl.ac.uk,10/1/2025,29000-45000,"War Studies, Dentistry, Psychiatry"
35,Fudan University,Asia,Medicine; Business; International Relations; Chinese Language; Journalism,Bachelor;Master;PhD,https://www.fudan.edu.cn/en/,isoadmission@fudan.edu.cn,10/15/2025,7000-12000,"Medicine, International Relations"
36,University of Manchester,Europe,Physics; Business; Engineering; Computer Science; Development Studies,Bachelor;Master;PhD,https://www.manchester.ac.uk/,international@manchester.ac.uk,9/15/2025,27000-40000,"Physics, Business, Engineering"
37,University of British Columbia,North America,Geography; Forestry; Computer Science; Economics; Kinesiology,Bachelor;Master;PhD,https://www.ubc.ca/,international.reception@ubc.ca,9/15/2025,40000-55000,"Geography, Forestry, Kinesiology"
38,EPFL - École polytechnique fédérale de Lausanne,Europe,Engineering; Computer Science; Life Sciences; Architecture; Basic Sciences,Bachelor;Master;PhD,https://www.epfl.ch/en/,bachelor.admission@epfl.ch,11/1/2025,1500-2500,"Engineering, Life Sciences"
39,Technical University of Munich,Europe,Engineering; Computer Science; Management; Life Sciences; Architecture,Bachelor;Master;PhD,https://www.tum.de/en/,studium@tum.de,5/15/2025,150-300,"Engineering, Technology Management"
40,"University of California, Los Angeles (UCLA)",North America,Film; Arts; Medicine; Law; Engineering,Bachelor;Master;PhD,https://www.ucla.edu/,admissions@ucla.edu,11/1/2025,44000-54000,"Film, Arts, Medicine"
41,New York University (NYU),North America,Arts; Business; Law; Film; Performing Arts,Bachelor;Master;PhD,https://www.nyu.edu/,admissions@nyu.edu,9/1/2025,58000-68000,"Arts, Business, Film"
